state,county,diff
Illinois,Cook ,-542895
California,Los Angeles ,-529262
Pennsylvania,Philadelphia ,-228849
Michigan,Wayne ,-213913
New York,Manhattan ,-202481
New York,Brooklyn ,-199991
Washington,King ,-158261
New York,Queens ,-143163
Maryland,Prince George's ,-141480
California,Alameda ,-136366
New York,Bronx ,-130021
Florida,Broward ,-124731
Ohio,Cuyahoga ,-119331
California,Santa Clara ,-108789
California,San Francisco ,-103188
Massachusetts,Middlesex ,-102406
District of Columbia,District of Columbia ,-97116
Georgia,DeKalb ,-93559
Oregon,Multnomah ,-93302
Maryland,Montgomery ,-92234
Minnesota,Hennepin ,-90102
Maryland,Baltimore City ,-88204
Wisconsin,Milwaukee ,-82283
New Jersey,Essex ,-77402
Massachusetts,Suffolk ,-71717
Georgia,Fulton ,-69682
California,Contra Costa ,-68501
Florida,Miami-Dade ,-68364
Colorado,Denver ,-65695
Florida,Palm Beach ,-64178
Wisconsin,Dane ,-63820
Connecticut,Hartford ,-60995
Hawaii,Honolulu ,-60761
Texas,Travis ,-55846
Texas,Dallas ,-55319
Nevada,Clark ,-54751
Tennessee,Shelby ,-53909
Missouri,St. Louis City ,-53316
California,San Mateo ,-53292
Missouri,St. Louis County ,-53044
Virginia,Fairfax ,-52735
Indiana,Marion ,-51447
New York,Westchester ,-50853
Delaware,New Castle ,-50539
North Carolina,Mecklenburg ,-48897
Ohio,Franklin ,-46575
California,Sonoma ,-46558
Pennsylvania,Allegheny ,-46377
Minnesota,Ramsey ,-44717
New Jersey,Hudson ,-44208
Michigan,Oakland ,-43063
Louisiana,Orleans ,-42898
Connecticut,New Haven ,-41634
Pennsylvania,Montgomery ,-41498
Florida,Orange ,-41467
Missouri,Jackson ,-41012
California,San Diego ,-40215
Rhodes Island,Providence ,-38954
Michigan,Washtenaw ,-37012
California,Sacramento ,-36597
New Jersey,Camden ,-35669
Colorado,Boulder ,-35604
Indiana,Lake ,-34830
North Carolina,Durham ,-34777
Connecticut,Fairfield ,-34388
Michigan,Genesee ,-33979
California,Marin ,-33672
Massachusetts,Essex ,-32837
Georgia,Clayton ,-32833
North Carolina,Wake ,-30876
Ohio,Lucas ,-30367
New Jersey,Middlesex ,-30335
Texas,El Paso ,-29421
Pennsylvania,Delaware ,-29219
New York,Erie ,-29080
Massachusetts,Norfolk ,-28918
New Jersey,Union ,-28136
California,Santa Cruz ,-28050
New Mexico,Bernalillo ,-27772
Virginia,Richmond City ,-27004
New York,Monroe ,-26798
Tennessee,Davidson ,-26093
Massachusetts,Bristol ,-25818
Washington,Snohomish ,-25778
New Jersey,Mercer ,-25390
Texas,Hidalgo ,-24895
Virginia,Arlington ,-24067
Michigan,Ingham ,-23135
Maryland,Baltimore ,-22966
South Carolina,Richland ,-22680
Maine,Cumberland ,-22659
Massachusetts,Hampden ,-22488
Oregon,Washington ,-22207
North Carolina,Guilford ,-21438
Oregon,Lane ,-21289
Massachusetts,Worcester ,-21026
Ohio,Summit ,-20307
Mississippi,Hinds ,-19546
New York,Nassau ,-19509
Illinois,DuPage ,-19473
Kentucky,Jefferson ,-19465
New Mexico,Santa Fe ,-18770
Virginia,Norfolk ,-18671
New Jersey,Passaic ,-18453
Minnesota,St. Louis ,-18181
New Jersey,Burlington ,-17990
New York,Albany ,-17977
Hawaii,Hawaii ,-17357
Florida,Leon ,-17342
New York,Onondaga ,-17275
Massachusetts,Hampshire ,-17245
Massachusetts,Berkshire ,-16543
North Carolina,Orange ,-16484
California,Monterey ,-16464
Illinois,Will ,-16161
Florida,Pinellas ,-16136
California,Solano ,-15860
California,Santa Barbara ,-15751
Virginia,Alexandria ,-15383
New Jersey,Bergen ,-14942
Ohio,Mahoning ,-14770
Illinois,St. Clair ,-14611
Iowa,Johnson ,-14594
Michigan,Macomb ,-14176
Maryland,Howard ,-14116
Iowa,Polk ,-13898
Hawaii,Maui ,-13832
Washington,Pierce ,-13529
Pennsylvania,Lackawanna ,-13527
Virginia,Hampton ,-12995
California,Ventura ,-12847
Texas,Bexar ,-12746
Georgia,Richmond ,-12464
Pennsylvania,Bucks ,-12420
Colorado,Adams ,-12409
Florida,Alachua ,-12347
Virginia,Prince William ,-12324
Colorado,Arapahoe ,-12282
Connecticut,New London ,-12111
California,Yolo ,-11840
Vermont,Chittenden ,-11836
New York,Suffolk ,-11757
Pennsylvania,Erie ,-11693
Illinois,Lake ,-11642
Washington,Thurston ,-11632
Michigan,Muskegon ,-11617
Iowa,Linn ,-11457
Michigan,Kalamazoo ,-11452
Virginia,Newport News ,-11383
Wisconsin,Rock ,-11030
North Carolina,Cumberland ,-10947
Pennsylvania,Lehigh ,-10782
Kansas,Wyandotte ,-10748
Texas,Cameron ,-10651
Pennsylvania,Chester ,-10416
Colorado,Jefferson ,-10285
Maine,York ,-10209
Ohio,Trumbull ,-10206
Ohio,Lorain ,-10173
Texas,Webb ,-10061
Indiana,Monroe ,-9855
