"STATE","ABBR","COUNTY","PRECINCTS","REPORTING","OBAMA","MCCAIN","OTHER"
"Alabama","AL","Autauga ",25,25,6091,17398,121
"Alabama","AL","Baldwin ",70,70,19362,61192,640
"Alabama","AL","Barbour ",21,21,5685,5862,58
"Alabama","AL","Bibb ",10,9,2289,6247,68
"Alabama","AL","Blount ",27,27,3518,20362,292
"Alabama","AL","Bullock ",18,18,4001,1389,10
"Alabama","AL","Butler ",28,28,4174,5472,33
"Alabama","AL","Calhoun ",54,54,16325,32326,493
"Alabama","AL","Chambers ",25,25,6782,8060,75
"Alabama","AL","Cherokee ",26,26,2299,7285,123
"Alabama","AL","Chilton ",19,19,3666,13934,127
"Alabama","AL","Choctaw ",33,33,3633,4220,27
"Alabama","AL","Clarke ",31,31,5907,7455,50
"Alabama","AL","Clay ",25,25,1722,4946,59
"Alabama","AL","Cleburne ",17,17,1166,5204,98
"Alabama","AL","Coffee ",34,34,5068,14909,114
"Alabama","AL","Colbert ",36,36,9698,14729,297
"Alabama","AL","Conecuh ",28,28,3411,3461,42
"Alabama","AL","Coosa ",14,14,2269,3245,40
"Alabama","AL","Covington ",30,30,3238,12431,88
"Alabama","AL","Crenshaw ",20,20,1938,4316,28
"Alabama","AL","Cullman ",52,52,5855,28837,466
"Alabama","AL","Dale ",23,23,5257,13873,149
"Alabama","AL","Dallas ",32,32,13958,6791,57
"Alabama","AL","DeKalb ",51,51,5654,17951,279
"Alabama","AL","Elmore ",32,32,8268,25695,192
"Alabama","AL","Escambia ",34,34,5176,9365,91
"Alabama","AL","Etowah ",58,58,13480,30562,537
"Alabama","AL","Fayette ",29,29,1988,5875,80
"Alabama","AL","Franklin ",26,26,3469,8048,153
"Alabama","AL","Geneva ",28,28,2106,9314,98
"Alabama","AL","Greene ",16,16,4402,876,16
"Alabama","AL","Hale ",18,18,4969,3196,25
"Alabama","AL","Henry ",17,17,2990,5558,39
"Alabama","AL","Houston ",38,38,12194,29205,213
"Alabama","AL","Jackson ",43,43,6367,14068,338
"Alabama","AL","Jefferson ",378,378,166015,149843,1768
"Alabama","AL","Lamar ",27,27,1614,5419,42
"Alabama","AL","Lauderdale ",39,39,13318,24050,592
"Alabama","AL","Lawrence ",31,31,5159,9269,190
"Alabama","AL","Lee ",37,37,21410,32344,472
"Alabama","AL","Limestone ",35,35,9530,23588,349
"Alabama","AL","Lowndes ",15,15,5447,1807,18
"Alabama","AL","Macon ",19,18,9444,1396,24
"Alabama","AL","Madison ",106,106,64062,86910,1452
"Alabama","AL","Marengo ",27,27,5925,5511,28
"Alabama","AL","Marion ",23,23,2597,9530,186
"Alabama","AL","Marshall ",47,47,7021,25680,325
"Alabama","AL","Mobile ",200,200,81741,97670,985
"Alabama","AL","Monroe ",34,34,5023,6173,40
"Alabama","AL","Montgomery ",123,123,61999,41972,421
"Alabama","AL","Morgan ",59,59,13882,35986,493
"Alabama","AL","Perry ",18,18,4423,1676,20
"Alabama","AL","Pickens ",27,27,4584,5426,29
"Alabama","AL","Pike ",30,30,5856,7981,61
"Alabama","AL","Randolph ",28,28,3062,7169,130
"Alabama","AL","Russell ",22,22,10078,8700,105
"Alabama","AL","Shelby ",76,76,20575,68945,772
"Alabama","AL","St. Clair ",37,37,6088,27630,297
"Alabama","AL","Sumter ",15,15,5218,1723,23
"Alabama","AL","Talladega ",34,34,13769,20109,265
"Alabama","AL","Tallapoosa ",31,30,6052,13105,110
"Alabama","AL","Tuscaloosa ",101,101,32738,45351,519
"Alabama","AL","Walker ",47,47,7418,20719,370
"Alabama","AL","Washington ",36,36,3032,5592,42
"Alabama","AL","Wilcox ",30,30,4553,1849,10
"Alabama","AL","Winston ",23,23,1756,8099,149
"Alaska","AK","Alaska ",438,438,80505,136585,5005
"Arizona","AZ","Apache ",45,45,15141,8381,292
"Arizona","AZ","Cochise ",64,64,17944,27590,774
"Arizona","AZ","Coconino ",85,85,27064,19449,597
"Arizona","AZ","Gila ",39,39,7566,13425,327
"Arizona","AZ","Graham ",18,18,3487,8375,139
"Arizona","AZ","Greenlee ",8,8,1165,1711,36
"Arizona","AZ","La Paz ",12,12,1794,3302,97
"Arizona","AZ","Maricopa ",1142,1142,542206,675027,13907
"Arizona","AZ","Mohave ",73,73,21286,42729,1048
"Arizona","AZ","Navajo ",70,70,14953,19199,400
"Arizona","AZ","Pima ",417,417,191465,168670,4244
"Arizona","AZ","Pinal ",88,88,42905,57714,1173
"Arizona","AZ","Santa Cruz ",24,24,8680,4517,101
